Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010728,105.2,2025-10,Cotton Premium,61.63607911958344,Verano,61.63607911958344,43.56392088041656,2025-01-01
5527IM6010728,105.2,2025-11,Cotton Premium,48.21479625208315,Verano,48.21479625208315,56.985203747916856,2025-01-01
5527IM6010728,105.2,2025-12,Cotton Premium,34.295073569479165,Verano,34.295073569479165,70.90492643052085,2025-01-01
5527IM6010730,118.3,2025-01,Cotton Premium,29.41597202318598,Verano,29.41597202318598,88.88402797681402,2025-01-01
5527IM6010730,118.3,2025-02,Cotton Premium,21.65972333926872,Verano,21.65972333926872,96.64027666073127,2025-01-01
5527IM6010730,118.3,2025-03,Cotton Premium,25.058862319529087,Verano,25.058862319529087,93.24113768047091,2025-01-01
5527IM6010730,118.3,2025-04,Cotton Premium,22.22198616289265,Verano,22.22198616289265,96.07801383710735,2025-01-01
5527IM6010730,118.3,2025-05,Cotton Premium,23.18899222881855,Verano,23.18899222881855,95.11100777118145,2025-01-01
5527IM6010730,118.3,2025-06,Cotton Premium,18.39872202081685,Verano,18.39872202081685,99.90127797918315,2025-01-01
5527IM6010730,118.3,2025-07,Cotton Premium,28.265820809652865,Verano,28.265820809652865,90.03417919034713,2025-01-01
5527IM6010730,118.3,2025-08,Cotton Premium,48.42288259688131,Verano,48.42288259688131,69.87711740311869,2025-01-01
5527IM6010730,118.3,2025-09,Cotton Premium,56.22879451863831,Verano,56.22879451863831,62.07120548136169,2025-01-01
5527IM6010730,118.3,2025-10,Cotton Premium,68.45657347854036,Verano,68.45657347854036,49.843426521459634,2025-01-01
5527IM6010730,118.3,2025-11,Cotton Premium,53.550125016548726,Verano,53.550125016548726,64.74987498345126,2025-01-01
5527IM6010730,118.3,2025-12,Cotton Premium,38.09008063614908,Verano,38.09008063614908,80.20991936385091,2025-01-01
5527IM6010875,285.5,2025-01,Cotton Premium,20.188268669423923,Verano,20.188268669423923,265.3117313305761,2025-01-01
5527IM6010875,285.5,2025-02,Cotton Premium,14.865132239515532,Verano,14.865132239515532,270.63486776048444,2025-01-01
5527IM6010875,285.5,2025-03,Cotton Premium,17.197971382961782,Verano,17.197971382961782,268.3020286170382,2025-01-01
